name,city,locality,cuisines,cost,Currency,rating,votes,primary_cuisine,cost_category
Le Petit Souffle,Makati City,"Century City Mall, Poblacion, Makati City","french, japanese, desserts",1100,Botswana Pula(P),4.8,314,french,high
Izakaya Kikufuji,Makati City,"Little Tokyo, Legaspi Village, Makati City",japanese,1200,Botswana Pula(P),4.5,591,japanese,high
Heat - Edsa Shangri-La,Mandaluyong City,"Edsa Shangri-La, Ortigas, Mandaluyong City","seafood, asian, filipino, indian",4000,Botswana Pula(P),4.4,270,seafood,high
Ooma,Mandaluyong City,"SM Megamall, Ortigas, Mandaluyong City","japanese, sushi",1500,Botswana Pula(P),4.9,365,japanese,high
Sambo Kojin,Mandaluyong City,"SM Megamall, Ortigas, Mandaluyong City","japanese, korean",1500,Botswana Pula(P),4.8,229,japanese,high
Din Tai Fung,Mandaluyong City,"SM Megamall, Ortigas, Mandaluyong City",chinese,1000,Botswana Pula(P),4.4,336,chinese,high
Buffet 101,Pasay City,"SM by the Bay, Mall of Asia Complex, Pasay City","asian, european",2000,Botswana Pula(P),4.0,520,asian,high
Vikings,Pasay City,"SM by the Bay, Mall of Asia Complex, Pasay City","seafood, filipino, asian, european",2000,Botswana Pula(P),4.2,677,seafood,high
Spiral - Sofitel Philippine Plaza Manila,Pasay City,"Sofitel Philippine Plaza Manila, Pasay City","european, asian, indian",6000,Botswana Pula(P),4.9,621,european,high
Locavore,Pasig City,Kapitolyo,filipino,1100,Botswana Pula(P),4.8,532,filipino,high
Silantro Fil-Mex,Pasig City,Kapitolyo,"filipino, mexican",800,Botswana Pula(P),4.9,1070,filipino,high
Mad Mark's Creamery & Good Eats,Pasig City,Kapitolyo,"american, ice cream, desserts",900,Botswana Pula(P),4.2,488,american,high
Silantro Fil-Mex,Quezon City,"UP Town Center, Diliman, Quezon City","filipino, mexican",800,Botswana Pula(P),4.8,294,filipino,high
Guevarra's,San Juan City,Addition Hills,filipino,1000,Botswana Pula(P),4.2,458,filipino,high
Sodam Korean Restaurant,San Juan City,Little Baguio,korean,700,Botswana Pula(P),4.3,223,korean,medium
Cafe Arabelle,Santa Rosa,"Nuvali, Don Jose, Santa Rosa","cafe, american, italian, filipino",800,Botswana Pula(P),3.6,29,cafe,high
Nonna's Pasta & Pizzeria,Santa Rosa,"Solenad 3, Don Jose, Santa Rosa","italian, pizza",850,Botswana Pula(P),4.0,72,italian,high
Balay Dako,Tagaytay City,Tagaytay City,filipino,1200,Botswana Pula(P),4.5,211,filipino,high
Hobing Korean Dessert Cafe,Taguig City,"BGC Stopover Pavillion, Bonifacio Global City","cafe, korean, desserts",600,Botswana Pula(P),4.5,118,cafe,medium
Wildflour Cafe + Bakery,Taguig City,Bonifacio Global City,"cafe, bakery, american, italian",1500,Botswana Pula(P),4.4,392,cafe,high
NIU by Vikings,Taguig City,"SM Aura Premier, Bonifacio Global City, Taguig City","seafood, american, mediterranean, japanese",3000,Botswana Pula(P),4.7,535,seafood,high
The Food Hall by Todd English,Taguig City,"SM Aura Premier, Bonifacio Global City, Taguig City","american, asian, italian, seafood",1800,Botswana Pula(P),4.5,618,american,high
Chez Michou,Brasí_lia,Asa Norte,"fast food, french",55,Brazilian Real(R$),3.0,6,fast food,low
Cafí© Daniel Briand,Brasí_lia,Asa Norte,cafe,30,Brazilian Real(R$),3.8,9,cafe,low
Casa do Biscoito Mineiro,Brasí_lia,Asa Norte,bakery,45,Brazilian Real(R$),3.7,11,bakery,low
Maori,Brasí_lia,Asa Norte,brazilian,60,Brazilian Real(R$),3.8,11,brazilian,low
Pizza íæ Bessa,Brasí_lia,Asa Sul,pizza,50,Brazilian Real(R$),3.2,11,pizza,low
Sushi Loko,Brasí_lia,Asa Sul,japanese,80,Brazilian Real(R$),3.1,10,japanese,low
Beirute,Brasí_lia,Asa Sul,arabian,90,Brazilian Real(R$),3.7,8,arabian,low
New Koto,Brasí_lia,Asa Sul,japanese,200,Brazilian Real(R$),3.7,5,japanese,low
Sandubas Cafí©,Brasí_lia,Asa Sul,"brazilian, cafe",30,Brazilian Real(R$),0.0,2,brazilian,low
